Date,ATM_ID,District,Location_Type,Manufacturer,ATM_Age_Yrs,Daily_Transactions,Failed_Transactions,Cash_Remaining_Pct,Cash_Loaded_Today,CardReader_Errors,CashDispenser_Errors,Cash_Jams,Printer_Errors,Paper_Remaining_Pct,CPU_Temp_C,CPU_Usage_Pct,Memory_Usage_Pct,Network_Latency_ms,Network_Drops,UPS_Battery_Pct,Power_Outages_7D,Days_Since_Maintenance,Previous_Failures_90D,Customer_Complaints_7D,Failure_Code,Failure_Next_48H,Predicted_Failure_Next_48H,Failure_Probability
2025-12-30,ATM125,4,1,1,5.7,337,15,67.0,0,0,3,0,3,93,52.5,31,52,10,0,80,0,44,2,1,3,1,1,100.0
2025-12-26,ATM221,1,1,1,2.4,429,17,55.0,0,1,1,0,3,62,47.4,42,85,158,0,97,1,22,0,1,3,1,1,100.0
2025-12-26,ATM223,9,3,1,8.0,472,9,60.0,0,0,3,0,3,70,44.2,48,62,48,0,95,0,31,1,0,6,1,1,100.0
2025-12-31,ATM193,2,5,2,9.0,299,1,58.0,0,0,3,0,2,67,46.6,36,56,45,2,84,0,30,0,0,6,1,1,100.0
2025-12-28,ATM080,6,1,1,9.4,569,24,51.0,1,1,3,0,3,59,49.8,29,30,107,0,95,2,34,3,0,2,1,1,100.0
2025-12-26,ATM230,8,5,1,9.0,580,0,68.0,0,0,3,1,0,72,46.9,48,78,54,0,95,0,16,2,1,3,1,1,100.0
2025-12-26,ATM169,6,4,0,9.6,187,0,74.0,0,2,2,1,3,80,47.8,41,71,111,0,100,0,21,0,0,1,1,1,100.0
2025-12-31,ATM094,9,1,1,4.2,376,17,84.0,0,1,3,0,3,90,40.3,54,54,62,1,66,0,0,0,1,5,1,1,100.0
2025-12-28,ATM183,6,5,0,4.2,457,0,77.0,0,0,3,0,3,65,47.9,52,58,49,1,95,0,10,0,2,3,1,1,100.0
2025-12-28,ATM069,4,2,0,7.5,355,14,42.0,0,2,0,1,3,100,46.6,41,59,43,1,89,6,109,2,0,6,1,1,100.0
2025-12-31,ATM279,7,0,2,4.0,643,9,64.0,1,2,1,1,3,83,50.2,62,43,95,0,100,1,22,1,2,3,1,1,100.0
2025-12-31,ATM072,8,3,1,3.4,511,13,75.0,0,1,3,0,3,69,43.3,46,41,67,0,81,0,19,5,0,6,1,1,100.0
2025-12-30,ATM165,8,5,1,4.0,366,13,46.0,0,0,3,0,3,78,41.7,29,77,70,3,86,3,27,2,2,2,1,1,100.0
2025-12-31,ATM286,3,5,0,4.2,626,18,0.0,0,1,3,0,3,95,47.1,50,52,12,0,78,5,24,0,1,3,1,1,100.0
2025-12-31,ATM225,0,4,2,3.6,649,7,71.0,0,2,3,1,3,40,41.2,71,58,26,0,81,1,45,0,4,5,1,1,100.0
2025-12-27,ATM108,0,5,0,3.4,378,1,61.0,0,2,3,1,1,52,49.1,66,67,25,3,85,0,50,1,1,3,1,1,100.0
2025-12-28,ATM055,1,2,0,2.0,20,0,30.0,0,0,3,0,3,72,44.9,20,45,14,0,87,3,0,1,0,2,1,1,100.0
2025-12-31,ATM172,7,1,0,8.3,507,5,43.0,0,2,3,0,3,100,43.2,28,39,81,1,90,2,33,0,0,6,1,1,100.0
2025-12-31,ATM177,4,0,2,1.8,235,5,65.0,0,1,3,1,3,59,45.3,44,63,93,0,92,1,10,0,0,3,1,1,100.0
2025-12-30,ATM071,9,2,1,5.0,325,4,54.0,1,1,3,0,0,67,43.1,54,57,22,1,89,3,26,3,0,3,1,1,100.0
2025-12-30,ATM102,4,4,1,5.1,722,19,62.0,1,0,3,1,3,98,43.2,78,63,81,0,80,0,53,0,0,3,1,1,100.0
2025-12-30,ATM105,1,2,0,4.8,399,10,25.0,0,2,3,0,3,76,50.4,5,65,33,0,76,4,0,1,0,6,1,1,100.0
2025-12-31,ATM063,6,3,2,8.8,514,16,69.0,0,1,3,1,2,78,49.4,38,63,76,0,87,3,13,0,0,6,1,1,100.0
2025-12-21,ATM267,7,1,1,3.2,220,7,57.0,0,1,3,1,3,34,42.7,21,62,127,0,91,0,0,0,1,6,1,1,100.0
2025-12-31,ATM038,8,3,1,1.9,314,1,70.0,0,1,3,1,3,31,50.8,82,44,46,1,91,0,63,0,1,1,1,1,100.0
2025-12-29,ATM121,6,2,0,9.4,360,11,44.0,0,0,3,0,2,68,48.4,45,69,97,3,76,0,58,0,3,5,1,1,100.0
2025-12-31,ATM155,9,2,0,9.5,353,16,33.0,0,1,3,0,3,100,50.4,56,57,84,0,86,3,88,0,0,3,1,1,100.0
2025-12-30,ATM123,6,5,0,1.2,484,11,51.0,1,0,3,1,0,72,50.0,38,75,109,0,98,0,49,0,3,5,1,1,100.0
2025-12-30,ATM085,3,5,1,8.8,298,7,49.0,0,0,2,0,3,74,41.0,50,72,78,2,86,0,49,1,3,3,1,1,100.0
2025-12-31,ATM044,0,5,0,2.0,365,17,92.0,0,2,3,1,3,54,47.9,40,64,127,0,100,0,15,0,0,1,1,1,100.0
